"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","fog","rain","snow","snowfallm","snowfalli","monthtodatesnowfallm","monthtodatesnowfalli","since1julsnowfallm","since1julsnowfalli","snowdepthm","snowdepthi","hail","thunder","tornado","meantempm","meantempi","meandewptm","meandewpti","meanpressurem","meanpressurei","meanwindspdm","meanwindspdi","meanwdire","meanwdird","meanvism","meanvisi","humidity","maxtempm","maxtempi","mintempm","mintempi","maxhumidity","minhumidity","maxdewptm","maxdewpti","mindewptm","mindewpti","maxpressurem","maxpressurei","minpressurem","minpressurei","maxwspdm","maxwspdi","minwspdm","minwspdi","maxvism","maxvisi","minvism","minvisi","gdegreedays","heatingdegreedays","coolingdegreedays","precipm","precipi","precipsource","heatingdegreedaysnormal","monthtodateheatingdegreedays","monthtodateheatingdegreedaysnormal","since1sepheatingdegreedays","since1sepheatingdegreedaysnormal","since1julheatingdegreedays","since1julheatingdegreedaysnormal","coolingdegreedaysnormal","monthtodatecoolingdegreedays","monthtodatecoolingdegreedaysnormal","since1sepcoolingdegreedays","since1sepcoolingdegreedaysnormal","since1jancoolingdegreedays","since1jancoolingdegreedaysnormal"
"12:00 PM CST on January 01, 2009","2009","01","01","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-2","29","-8","18","1008","29.77","18","11","","246","16","10","","4","39","-7","19","93","44","-4","25","-11","12","1010","29.83","1005","29.69","37","23","0","0","16","10","16","10","0","36","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 02, 2009","2009","01","02","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-8","17","-13","8","1010","29.83","18","11","","79","16","10","","-4","24","-12","10","79","57","-9","16","-17","1","1013","29.91","1004","29.65","29","18","6","4","16","10","16","10","0","48","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 03, 2009","2009","01","03","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-6","22","-9","16","1006","29.71","26","16","","333","11","7","","1","33","-12","10","100","73","0","32","-16","3","1016","30.02","1000","29.54","55","34","8","5","16","10","1","1","0","44","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 04, 2009","2009","01","04","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-11","12","-20","-4","1028","30.35","26","16","","273","16","10","","-4","24","-18","0","72","39","-15","5","-23","-9","1030","30.42","1023","30.22","39","24","6","4","16","10","16","10","0","53","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 05, 2009","2009","01","05","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-4","25","-14","7","1014","29.94","21","13","","207","16","10","","2","35","-9","15","63","33","-11","12","-17","1","1023","30.21","1004","29.64","37","23","14","9","16","10","16","10","0","40","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 06, 2009","2009","01","06","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-2","28","-10","14","1000","29.53","21","13","","281","16","10","","3","37","-7","19","68","43","-7","19","-13","9","1002","29.58","999","29.49","39","24","10","6","16","10","16","10","0","37","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 07, 2009","2009","01","07","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-7","19","-12","11","1003","29.62","26","16","","323","16","10","","-4","24","-10","14","80","63","-8","18","-14","7","1007","29.75","1001","29.57","40","25","6","4","16","10","16","10","0","46","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 08, 2009","2009","01","08","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-11","12","-15","5","1012","29.89","13","8","","141","16","10","","-6","21","-16","3","85","63","-10","14","-18","0","1015","29.97","1008","29.77","27","17","0","0","16","10","16","10","0","53","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 09, 2009","2009","01","09","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-7","20","-8","17","1013","29.91","19","12","","358","11","7","","-4","24","-8","17","86","69","-7","19","-11","12","1025","30.27","1003","29.61","45","28","8","5","16","10","1","0","0","44","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 10, 2009","2009","01","10","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-11","12","-14","6","1025","30.27","19","12","","267","16","10","","-4","24","-17","1","92","63","-8","18","-21","-6","1028","30.36","1017","30.05","34","21","0","0","16","10","6","4","0","52","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 11, 2009","2009","01","11","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-3","26","-6","21","1021","30.15","24","15","","303","16","10","","-1","30","-6","21","93","69","-5","23","-8","18","1024","30.23","1018","30.07","37","23","0","0","16","10","4","2","0","38","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 12, 2009","2009","01","12","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-9","16","-11","13","1019","30.10","29","18","","304","10","6","","1","33","-19","-2","93","66","-2","28","-23","-9","1031","30.44","1010","29.83","72","45","6","4","16","10","0","0","0","50","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 13, 2009","2009","01","13","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-15","5","-18","-1","1019","30.09","18","11","","113","15","9","","-9","15","-21","-5","86","56","-11","12","-23","-9","1030","30.42","1008","29.77","35","22","0","0","16","10","2","2","0","60","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 14, 2009","2009","01","14","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-17","2","-22","-8","1030","30.41","31","19","","333","13","8","","-9","15","-24","-11","86","60","-11","12","-28","-18","1040","30.71","1011","29.86","42","26","16","10","16","10","4","2","0","63","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 15, 2009","2009","01","15","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-23","-9","-28","-18","1041","30.75","16","10","","332","16","10","","-18","0","-28","-18","92","45","-24","-11","-32","-26","1044","30.82","1037","30.64","24","15","0","0","16","10","16","10","0","74","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 16, 2009","2009","01","16","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-12","10","-14","7","1025","30.27","16","10","","151","15","9","","-4","24","-20","-4","86","34","-8","18","-27","-17","1034","30.53","1016","30.00","26","16","8","5","16","10","2","2","0","55","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 17, 2009","2009","01","17","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-1","30","-3","26","1015","29.98","34","21","","308","16","10","","3","37","-4","24","86","60","-2","28","-7","19","1018","30.06","1011","29.85","58","36","0","0","16","10","5","3","0","34","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 18, 2009","2009","01","18","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","1","34","-4","25","1015","29.99","35","22","","318","16","10","","4","39","-2","28","80","61","-2","28","-6","21","1019","30.08","1013","29.91","47","29","27","17","16","10","16","10","0","32","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 19, 2009","2009","01","19","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-2","28","-6","22","1019","30.09","21","13","","331","16","10","","2","35","-6","21","86","70","-3","27","-9","16","1022","30.17","1015","29.99","52","32","0","0","16","10","16","10","0","37","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 20, 2009","2009","01","20","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-1","30","-6","21","1022","30.17","21","13","","296","16","10","","2","35","-4","24","86","64","-3","27","-8","18","1025","30.28","1014","29.94","35","22","0","0","16","10","16","10","0","36","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 21, 2009","2009","01","21","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","1","34","-6","22","1014","29.96","16","10","","290","16","10","","7","44","-4","24","80","46","-3","27","-7","19","1016","30.02","1011","29.87","26","16","0","0","16","10","16","10","0","31","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 22, 2009","2009","01","22","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","1","34","-4","24","1009","29.81","5","3","","279","16","10","","9","48","-6","21","93","46","-2","28","-8","18","1011","29.86","1007","29.75","23","14","0","0","16","10","16","10","0","30","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 23, 2009","2009","01","23","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-8","17","-13","8","1027","30.34","43","27","","332","16","10","","-2","28","-14","6","74","58","-7","19","-19","-2","1036","30.61","1015","29.99","61","38","26","16","16","10","11","7","0","48","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 24, 2009","2009","01","24","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-15","5","-21","-5","1034","30.54","14","9","","329","16","10","","-11","12","-19","-2","78","48","-19","-2","-23","-9","1038","30.67","1030","30.41","26","16","6","4","16","10","16","10","0","60","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 25, 2009","2009","01","25","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-14","6","-19","-3","1029","30.40","13","8","","334","14","8","","-11","12","-17","1","85","41","-18","0","-22","-8","1031","30.44","1028","30.36","19","12","0","0","16","10","3","2","0","58","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 26, 2009","2009","01","26","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-14","6","-17","2","1031","30.45","6","4","","323","12","8","","-12","10","-17","1","92","57","-15","5","-21","-6","1032","30.49","1030","30.42","14","9","0","0","16","10","1","1","0","60","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 27, 2009","2009","01","27","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-16","4","-18","-1","1026","30.29","5","3","","190","15","10","","-9","15","-22","-7","100","58","-14","7","-24","-11","1032","30.48","1015","29.97","19","12","0","0","16","10","2","1","0","61","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 28, 2009","2009","01","28","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-8","18","-13","8","1010","29.84","13","8","","234","16","10","","3","37","-18","0","92","56","-3","27","-21","-6","1014","29.96","1008","29.76","32","20","0","0","16","10","16","10","0","46","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 29, 2009","2009","01","29","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-4","25","-9","15","1020","30.11","19","12","","309","16","10","","1","33","-8","17","93","51","-5","23","-13","9","1020","30.13","1019","30.08","50","31","0","0","16","10","14","9","0","40","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 30, 2009","2009","01","30","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-2","28","-6","22","1018","30.06","6","4","","296","15","9","","4","39","-8","17","93","65","-1","30","-10","14","1019","30.10","1017","30.03","29","18","0","0","16","10","5","3","0","37","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on January 31, 2009","2009","01","31","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","6","42","-3","26","1008","29.78","19","12","","270","16","10","","13","55","-1","30","75","33","1","34","-6","21","1014","29.94","1003","29.62","37","23","0","0","16","10","16","10","0","22","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 01, 2009","2009","02","01","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","0","32","-7","19","1019","30.09","21","13","","293","16","10","","5","41","-4","24","86","36","-4","25","-9","16","1023","30.20","1014","29.94","47","29","14","9","16","10","2","2","0","32","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 02, 2009","2009","02","02","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-9","16","-14","7","1024","30.23","21","13","","316","16","10","","0","32","-18","0","72","48","-8","18","-23","-9","1029","30.39","1021","30.14","39","24","8","5","16","10","16","10","0","49","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 03, 2009","2009","02","03","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-13","8","-21","-5","1032","30.47","14","9","","346","16","10","","-9","15","-18","0","79","45","-17","1","-23","-9","1033","30.52","1029","30.39","27","17","0","0","16","10","16","10","0","58","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 04, 2009","2009","02","04","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-7","19","-13","8","1028","30.37","16","10","","134","16","10","","0","32","-14","6","85","50","-9","16","-18","0","1032","30.49","1021","30.16","34","21","8","5","16","10","16","10","0","46","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 05, 2009","2009","02","05","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","3","37","-6","22","1016","30.01","11","7","","235","16","10","","13","55","-7","19","86","36","-1","30","-11","12","1018","30.07","1015","29.98","23","14","0","0","16","10","16","10","0","28","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 06, 2009","2009","02","06","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","4","40","-3","27","1007","29.73","11","7","","115","16","10","","13","55","-3","26","86","38","1","34","-6","21","1014","29.96","1000","29.52","23","14","0","0","16","10","14","9","0","24","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 07, 2009","2009","02","07","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","4","40","-2","28","1016","30.00","26","16","","300","16","10","","9","48","-1","30","75","50","0","32","-5","23","1027","30.33","1004","29.66","47","29","14","9","16","10","16","10","0","25","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 08, 2009","2009","02","08","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-1","31","-4","25","1024","30.24","8","5","","135","12","7","","5","41","-6","21","100","65","-1","30","-7","19","1028","30.36","1015","29.99","23","14","0","0","16","10","3","2","0","34","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 09, 2009","2009","02","09","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","7","44","4","39","996","29.43","27","17","","143","11","7","","11","51","3","37","100","66","8","46","-1","30","1013","29.91","981","28.97","53","33","19","12","16","10","2","2","0","21","0","2.03","0.08","","","","","","","","","","","","","","",""
"12:00 PM CST on February 10, 2009","2009","02","10","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","6","42","-1","31","999","29.51","40","25","","274","16","10","","11","51","1","33","87","43","1","34","-3","27","1008","29.76","987","29.16","52","32","8","5","16","10","14","9","0","23","0","1.27","0.05","","","","","","","","","","","","","","",""
"12:00 PM CST on February 11, 2009","2009","02","11","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","3","38","-4","25","1010","29.82","26","16","","307","16","10","","6","42","1","33","81","36","-2","28","-8","18","1014","29.94","1007","29.73","47","29","14","9","16","10","16","10","0","28","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 12, 2009","2009","02","12","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","1","34","-8","18","1020","30.12","18","11","","288","16","10","","7","44","-5","23","80","27","-5","23","-12","10","1022","30.19","1015","29.98","29","18","0","0","16","10","16","10","0","32","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 13, 2009","2009","02","13","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-4","24","-10","14","1024","30.25","13","8","","338","16","10","","-3","26","-6","21","80","55","-7","19","-11","12","1026","30.29","1023","30.22","26","16","0","0","16","10","16","10","0","42","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 14, 2009","2009","02","14","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-6","22","-11","12","1026","30.29","8","5","","38","16","10","","-1","30","-9","15","79","44","-9","16","-13","9","1027","30.32","1025","30.26","14","9","0","0","16","10","16","10","0","42","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 15, 2009","2009","02","15","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-3","26","-8","17","1029","30.38","13","8","","127","16","10","","1","33","-7","19","86","48","-7","19","-10","14","1030","30.43","1027","30.32","24","15","8","5","16","10","13","8","0","39","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 16, 2009","2009","02","16","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","1","34","-7","19","1019","30.08","18","11","","176","16","10","","7","44","-5","23","80","36","-4","25","-11","12","1026","30.29","1011","29.86","47","29","0","0","16","10","16","10","0","32","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 17, 2009","2009","02","17","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","2","36","-3","27","1003","29.61","10","6","","87","12","8","","10","50","-5","23","93","54","2","36","-7","19","1010","29.84","997","29.44","32","20","0","0","16","10","6","4","0","28","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 18, 2009","2009","02","18","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-7","20","-12","11","1014","29.94","39","24","","329","14","9","","-3","26","-9","15","93","37","-5","23","-17","1","1023","30.20","1004","29.65","50","31","23","14","16","10","4","2","0","44","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 19, 2009","2009","02","19","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-7","19","-14","6","1023","30.21","10","6","","290","16","10","","1","33","-15","5","85","41","-11","12","-18","0","1024","30.25","1021","30.14","19","12","0","0","16","10","16","10","0","46","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 20, 2009","2009","02","20","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-2","28","-8","17","1015","29.97","16","10","","267","15","10","","6","42","-9","15","93","42","-3","27","-12","10","1020","30.11","1009","29.81","55","34","0","0","16","10","8","5","0","36","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 21, 2009","2009","02","21","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-8","18","-16","4","1025","30.26","35","22","","314","16","10","","-3","26","-12","10","79","34","-13","9","-19","-2","1027","30.32","1022","30.17","50","31","8","5","16","10","13","8","0","47","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 22, 2009","2009","02","22","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-8","17","-16","4","1032","30.49","11","7","","350","16","10","","-2","28","-14","6","79","40","-14","7","-17","1","1034","30.55","1029","30.39","16","10","0","0","16","10","13","8","0","48","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 23, 2009","2009","02","23","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-6","22","-12","11","1028","30.36","19","12","","128","16","10","","3","37","-13","8","92","38","-8","18","-15","5","1035","30.56","1019","30.09","37","23","10","6","16","10","16","10","0","42","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 24, 2009","2009","02","24","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","7","44","-5","23","1012","29.89","13","8","","169","16","10","","16","60","-2","28","75","25","-3","27","-8","18","1017","30.03","1008","29.76","24","15","0","0","16","10","16","10","0","21","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 25, 2009","2009","02","25","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","2","36","-4","25","1016","30.02","18","11","","312","15","9","","8","46","-3","26","86","53","-1","30","-6","21","1021","30.15","1008","29.78","32","20","6","4","16","10","10","6","0","29","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 26, 2009","2009","02","26","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","1","0","-7","19","-8","18","1013","29.91","27","17","","30","11","7","","-1","30","-13","8","93","73","-2","28","-17","1","1017","30.05","1008","29.78","52","32","8","5","16","10","2","2","0","46","0","1.02","0.04","","","","","","","","","","","","","","",""
"12:00 PM CST on February 27, 2009","2009","02","27","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-14","6","-17","1","1025","30.28","21","13","","349","11","7","","-12","10","-17","1","92","72","-13","9","-20","-4","1029","30.39","1023","30.20","29","18","10","6","16","10","1","0","0","60","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on February 28, 2009","2009","02","28","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-15","5","-18","-1","1035","30.57","18","11","","314","15","9","","-10","14","-20","-4","85","61","-14","7","-22","-8","1038","30.66","1033","30.50","29","18","11","7","16","10","4","2","0","60","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on March 01, 2009","2009","03","01","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-18","0","-21","-5","1037","30.64","16","10","","295","16","10","","-12","10","-23","-9","92","66","-16","3","-26","-15","1041","30.74","1032","30.47","24","15","0","0","16","10","16","10","0","64","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on March 02, 2009","2009","03","02","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-10","14","-13","8","1028","30.35","19","12","","139","16","10","","-3","26","-16","3","85","63","-9","16","-18","0","1030","30.43","1026","30.29","37","23","10","6","16","10","16","10","0","50","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on March 03, 2009","2009","03","03","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-3","26","-7","19","1018","30.06","26","16","","152","16","10","","1","33","-7","19","80","63","-4","25","-11","12","1025","30.28","1012","29.90","47","29","16","10","16","10","16","10","0","39","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on March 04, 2009","2009","03","04","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","1","34","-2","28","1010","29.82","16","10","","127","15","9","","9","48","-6","21","93","66","4","39","-7","19","1012","29.89","1005","29.69","29","18","6","4","16","10","8","5","0","30","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on March 05, 2009","2009","03","05","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","4","40","1","34","1003","29.63","13","8","","318","10","6","","10","50","-1","30","93","71","6","43","-4","25","1011","29.86","1000","29.52","34","21","0","0","16","10","0","0","0","25","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on March 06, 2009","2009","03","06","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","4","40","-1","31","1014","29.96","11","7","","241","16","10","","11","51","-1","30","93","41","2","36","-2","28","1017","30.03","1011","29.87","19","12","0","0","16","10","16","10","0","24","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CST on March 07, 2009","2009","03","07","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-1","30","-5","23","1016","30.00","19","12","","12","13","8","","1","33","-3","26","93","60","0","32","-8","18","1018","30.06","1014","29.94","27","17","8","5","16","10","1","1","0","36","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CDT on March 08, 2009","2009","03","08","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","0","32","-3","26","1012","29.89","16","10","","347","12","8","","5","41","-4","24","93","69","0","32","-7","19","1015","29.97","1009","29.81","34","21","0","0","16","10","1","0","0","32","0","2.03","0.08","","","","","","","","","","","","","","",""
"12:00 PM CDT on March 09, 2009","2009","03","09","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-2","28","-2","29","1014","29.96","14","9","","91","4","2","","1","33","-4","24","100","86","0","32","-6","21","1016","30.01","1013","29.92","37","23","0","0","14","9","0","0","0","36","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CDT on March 10, 2009","2009","03","10","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-10","14","-13","8","1016","30.00","34","21","","314","8","5","","-6","21","-14","6","93","67","-7","19","-18","0","1024","30.25","1013","29.91","58","36","23","14","16","10","2","1","0","52","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CDT on March 11, 2009","2009","03","11","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-14","6","-20","-4","1036","30.59","29","18","","316","16","10","","-11","12","-18","0","78","57","-17","1","-23","-9","1040","30.71","1028","30.36","40","25","8","5","16","10","14","9","0","59","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CDT on March 12, 2009","2009","03","12","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","-9","16","-14","7","1035","30.56","13","8","","130","16","10","","-2","28","-16","3","85","63","-7","19","-19","-2","1039","30.69","1029","30.40","24","15","6","4","16","10","16","10","0","50","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CDT on March 13, 2009","2009","03","13","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","0","32","-7","19","1026","30.30","10","6","","211","16","10","","7","44","-6","21","86","37","-6","21","-9","16","1029","30.39","1022","30.19","19","12","0","0","16","10","16","10","0","32","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CDT on March 14, 2009","2009","03","14","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","6","42","-4","25","1015","29.99","16","10","","193","16","10","","13","55","-1","30","69","36","-1","30","-7","19","1021","30.14","1011","29.86","45","28","0","0","16","10","16","10","0","22","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CDT on March 15, 2009","2009","03","15","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","9","48","1","34","1010","29.84","24","15","","183","16","10","","16","60","3","37","75","39","4","39","-2","28","1012","29.88","1009","29.80","50","31","10","6","16","10","16","10","0","16","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CDT on March 16, 2009","2009","03","16","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","13","55","0","32","1012","29.90","14","9","","196","16","10","","23","73","3","37","81","20","2","36","-1","30","1013","29.93","1011","29.85","29","18","0","0","16","10","6","4","5","10","0","0.00","0.00","","","","","","","","","","","","","","",""
"12:00 PM CDT on March 17, 2009","2009","03","17","12","00","America/Chicago","0","0","0","0.00","0.00","","","","","","","0","0","0","8","46","-1","31","1016","30.01","19","12","","301","16","10","","13","55","3","37","75","35","2","36","-3","27","1021","30.14","1011","29.87","35","22","0","0","16","10","16","10","0","19","0","0.00","0.00","","","","","","","","","","","","","","",""
