"hail","thunder","rain","SnowFall","Temp","MinTemp","MaxTemp","Humidity","Max_Pressure","Min_Pressure"
"0","0","0","0","14","10","18","","1019","1016"
"0","0","1","0","17","15","18","","1018","1013"
"0","0","1","0","16","14","18","","1017","1011"
